-156, 312, -16840, 12
104, -15156, 6840, 2
92, -15188, 6916, 2
-8248, 11704, 7648, 5
-412, 14836, -7180, 10
8524, -11748, -8264, 8
8776, 11564, 7868, 4
8748, 11504, 7724, 4
8756, 11528, 7792, 4
8688, 11496, 7788, 4
8592, -11744, -8192, 8
8732, 11516, 7744, 4
-13856, -5004, 6844, 6
-80, 404, -16828, 12
-8708, -11720, -7840, 7
-8152, 11704, 7676, 5
120, -15144, 6836, 2
8472, -11884, -8096, 8
-13880, -4956, 7008, 6
8724, 11560, 7892, 4
-13864, -4964, 6948, 6
-424, 14812, -7024, 10
724, -436, 16604, 1
160, -15204, 6884, 2
8532, -11760, -8148, 8
136, -15124, 6884, 2
8564, -11732, -8172, 8
8776, 11408, 7740, 4
-448, 14832, -6968, 10
14320, -5112, 6880, 3
8572, -11740, -8048, 8
760, -372, 16520, 1
696, -412, 16668, 1
8724, 11524, 7748, 4
13820, 4332, -7844, 9
-8208, 11740, 7676, 5
760, -412, 16544, 1
8740, 11512, 7672, 4
-148, 352, -16816, 12
13920, 4224, -7836, 9
156, -15172, 6840, 2
-416, 14856, -7008, 10
836, -492, 16536, 1
744, -404, 16572, 1
8744, 11560, 7736, 4
756, -432, 16680, 1
-416, 14808, -7000, 10
704, -428, 16632, 1
-8756, -11740, -7784, 7
648, -444, 16636, 1
116, -15156, 6868, 2
708, -396, 16716, 1
-8216, 11712, 7684, 5
-8312, 11712, 7704, 5
8700, 11500, 7776, 4
-13968, -4928, 7044, 6
-14112, 4868, -7096, 11
-13844, -4968, 7048, 6
756, -440, 16660, 1
736, -412, 16652, 1
8584, -11764, -8176, 8
8616, -11680, -8180, 8
-220, 400, -16916, 12
104, -15020, 6824, 2
-8756, -11792, -7828, 7
-13952, -4948, 7036, 6
-368, 14828, -6920, 10
-8264, 11724, 7552, 5
708, -372, 16524, 1
120, -15140, 6936, 2
14316, -5144, 6824, 3
8528, -11776, -8124, 8
52, -15132, 6844, 2
13844, 4332, -7892, 9
-8680, -11756, -7952, 7
-14072, 4868, -7056, 11
14256, -5096, 6736, 3
672, -472, 16596, 1
8588, -11760, -8140, 8
692, -452, 16616, 1
-14092, 4920, -7004, 11
13848, 4252, -7984, 9
-14000, -4968, 6972, 6
-14060, 4908, -6992, 11
-380, 14804, -6984, 10
680, -380, 16644, 1
8716, 11540, 7772, 4
8772, 11444, 7840, 4
8540, -11760, -8236, 8
112, -15136, 6860, 2
724, -368, 16672, 1
-8256, 11760, 7632, 5
8512, -11788, -8200, 8
14300, -5108, 6764, 3
14324, -5108, 6800, 3
14356, -5148, 6700, 3
-412, 14836, -7180, 10
-13932, -5024, 7088, 6
8596, -11744, -8136, 8
-14072, 4872, -6952, 11
-14132, 4844, -6964, 11
-14092, 4820, -6868, 11
132, -15184, 6908, 2
76, -15204, 6848, 2
8544, -11748, -8128, 8
744, -464, 16656, 1
-96, 428, -16884, 12
8752, 11496, 7764, 4
-13936, -5024, 7048, 6
660, -408, 16664, 1
13900, 4284, -7840, 9
14236, -5128, 6832, 3
-13956, -4924, 6980, 6
13920, 4316, -7832, 9
8564, -11848, -8160, 8
13900, 4348, -7852, 9
-180, 372, -16784, 12
8540, -11820, -8244, 8
116, -15200, 6824, 2
-96, 384, -16772, 12
-13896, -4828, 7000, 6
-14040, 4904, -6920, 11
124, -15184, 6944, 2
148, -15204, 6828, 2
152, -15200, 6840, 2
76, -15120, 6824, 2
-412, 14788, -7016, 10
8748, 11552, 7828, 4
8564, -11812, -8216, 8
14352, -5148, 6760, 3
-8796, -11712, -7852, 7
8744, 11532, 7728, 4
100, -15024, 6772, 2
-8252, 11844, 7636, 5
-156, 420, -16776, 12
-392, 14760, -7052, 10
-8756, -11708, -7908, 7
-8224, 11744, 7700, 5
14264, -5192, 6876, 3
-392, 14768, -7020, 10
8752, 11468, 7788, 4
132, -15152, 6752, 2
8580, -11764, -8184, 8
8552, -11824, -8128, 8
128, -15176, 6752, 2
13864, 4248, -7940, 9
116, -15128, 6776, 2
704, -448, 16648, 1
-8260, 11752, 7592, 5
-13900, -4940, 6944, 6
14296, -5212, 6820, 3
96, -15128, 6812, 2
700, -408, 16644, 1
13920, 4340, -7920, 9
8528, -11708, -8144, 8
14212, -5104, 6740, 3
-8784, -11728, -7904, 7
100, -15220, 6860, 2
-392, 14844, -7000, 10
692, -388, 16588, 1
8724, 11540, 7780, 4
-13928, -4956, 6996, 6
13936, 4308, -7992, 9
-8740, -11796, -7944, 7
744, -356, 16632, 1
-8288, 11612, 7656, 5
-13828, -5036, 6984, 6
14312, -5080, 6708, 3
-8768, -11780, -7876, 7
14260, -5104, 6892, 3
14268, -5128, 6872, 3
-368, 14864, -7052, 10
-13920, -5000, 7064, 6
-164, 316, -16784, 12
656, -388, 16736, 1
656, -368, 16692, 1
-14056, 4876, -7028, 11
14324, -5188, 6692, 3
-14060, 4852, -6964, 11
14308, -5084, 6696, 3
8748, 11504, 7716, 4
-8680, -11696, -7900, 7
-108, 384, -16868, 12
-13900, -4984, 7076, 6
-8336, 11604, 7596, 5
-8772, -11760, -7888, 7
-14120, 4884, -7068, 11
8540, -11776, -8240, 8
-8764, -11716, -7812, 7
656, -364, 16608, 1
13848, 4392, -7900, 9
13888, 4348, -8016, 9
-14120, 4776, -7048, 11
-8760, -11736, -7780, 7
14284, -5188, 6776, 3
60, -15112, 6724, 2
696, -432, 16616, 1
-14048, 4844, -7000, 11
700, -388, 16568, 1
8552, -11840, -8200, 8
13880, 4352, -7896, 9
712, -420, 16564, 1
13932, 4328, -7848, 9
13908, 4264, -7916, 9
-8748, -11748, -7860, 7
8528, -11804, -8156, 8
-8216, 11696, 7696, 5
664, -484, 16676, 1
724, -440, 16632, 1
-14140, 4888, -6996, 11
-8740, -11740, -7804, 7
-14104, 4824, -7008, 11
-8720, -11696, -7828, 7
14256, -5204, 6752, 3
8692, 11600, 7740, 4
14368, -5076, 6756, 3
8556, -11800, -8184, 8
708, -352, 16628, 1
-8164, 11720, 7588, 5
728, -456, 16600, 1
8804, 11512, 7732, 4
-88, 396, -16800, 12
8528, -11780, -8156, 8
8508, -11728, -8172, 8
100, -15152, 6804, 2
8544, -11792, -8156, 8
-476, 14860, -6972, 10
-100, 364, -16852, 12
-212, 376, -16856, 12
120, -15204, 6912, 2
14344, -4988, 6864, 3
8536, -11744, -8264, 8
-8208, 11760, 7700, 5
152, -15224, 6808, 2
-13948, -5008, 6976, 6
-14084, 4808, -7028, 11
784, -440, 16624, 1
-164, 300, -16772, 12
-14032, 4792, -6984, 11
-108, 376, -16872, 12
-428, 14832, -7156, 10
708, -432, 16672, 1
8592, -11732, -8120, 8
8712, 11568, 7720, 4
-420, 14844, -7032, 10
-168, 376, -16752, 12
-456, 14788, -7068, 10
14348, -5148, 6872, 3
13876, 4364, -7912, 9
672, -472, 16596, 1
13928, 4312, -7920, 9
740, -464, 16712, 1
13900, 4296, -7952, 9
-452, 14816, -7024, 10
8532, -11760, -8176, 8
8772, 11512, 7816, 4
-116, 436, -16752, 12
-452, 14816, -7004, 10
8680, 11540, 7840, 4
-492, 14868, -6988, 10
-13928, -4908, 7112, 6
14420, -5132, 6740, 3
14308, -5096, 6872, 3
-14112, 4764, -7012, 11
-8240, 11792, 7632, 5
748, -416, 16580, 1
708, -432, 16732, 1
-14040, 4820, -6972, 11
-13836, -4812, 7128, 6
14268, -5180, 6744, 3
13988, 4308, -7980, 9
8564, -11840, -8224, 8
-8768, -11736, -7796, 7
-8792, -11780, -7760, 7
-452, 14856, -7116, 10
-8772, -11708, -7840, 7
-8220, 11760, 7592, 5
156, -15164, 6884, 2
124, -15160, 6932, 2
-14056, 4772, -6920, 11
724, -428, 16584, 1
736, -412, 16652, 1
8552, -11760, -8188, 8
14304, -5148, 6732, 3
8728, 11496, 7744, 4
672, -384, 16656, 1
14376, -5208, 6776, 3
-180, 360, -16912, 12
13900, 4296, -7964, 9
-344, 14900, -7064, 10
-172, 396, -16816, 12
8736, 11500, 7628, 4
8624, 11516, 7704, 4
-13896, -4996, 7060, 6
-8752, -11716, -7868, 7
-192, 300, -16720, 12
96, -15152, 6940, 2
620, -464, 16700, 1
-14108, 4888, -6996, 11
720, -396, 16568, 1
72, -15148, 6760, 2
13892, 4376, -7900, 9
-8740, -11736, -7960, 7
716, -456, 16632, 1
-8248, 11672, 7508, 5
-164, 300, -16836, 12
-8192, 11760, 7592, 5
14336, -5156, 6828, 3
188, -15176, 6852, 2
764, -392, 16636, 1
-164, 368, -16728, 12
-8740, -11740, -7868, 7
-8692, -11784, -7840, 7
-8708, -11680, -7948, 7
-14092, 4840, -7016, 11
8536, -11760, -8216, 8
728, -448, 16576, 1
100, -15140, 6832, 2
-448, 14844, -7076, 10
-8688, -11712, -7960, 7
-404, 14836, -6948, 10
100, -15092, 6784, 2
724, -436, 16604, 1
13780, 4252, -7912, 9
-8276, 11692, 7616, 5
148, -15168, 6984, 2
744, -348, 16656, 1
72, -15076, 6884, 2
-408, 14820, -7084, 10
8544, -11788, -8164, 8
-8212, 11720, 7660, 5
8552, -11792, -8228, 8
-232, 392, -16848, 12
696, -400, 16720, 1
14320, -5140, 6740, 3
-8772, -11704, -7804, 7
13912, 4244, -7876, 9
-80, 428, -16936, 12
-8232, 11776, 7608, 5
672, -412, 16600, 1
668, -412, 16644, 1
-100, 336, -16884, 12
14308, -5176, 6848, 3
-14100, 4888, -7024, 11
-408, 14852, -7080, 10
8740, 11464, 7680, 4
8548, -11756, -8112, 8
8772, 11460, 7824, 4
736, -416, 16712, 1
14288, -5164, 6812, 3
-372, 14808, -7056, 10
-14072, 4840, -6884, 11
-8244, 11720, 7696, 5
14316, -5108, 6744, 3
8516, -11784, -8164, 8
8752, 11552, 7840, 4
8584, -11720, -8252, 8
712, -436, 16620, 1
-8256, 11768, 7532, 5
-8304, 11684, 7620, 5
-8140, 11744, 7552, 5
684, -424, 16652, 1
-420, 14792, -6912, 10
8760, 11556, 7668, 4
13892, 4288, -7824, 9
-14128, 4836, -7000, 11
-8652, -11512, -7708, 7
-14040, 4840, -6996, 11
96, -15136, 6900, 2
13912, 4256, -8028, 9
-72, 348, -16816, 12
92, -15132, 6764, 2
-284, 456, -16900, 12
-224, 412, -16792, 12
-8688, -11764, -7992, 7
8616, -11788, -8200, 8
-168, 412, -16892, 12
-14100, 4816, -6968, 11
-428, 14776, -7024, 10
-13960, 4896, -7048, 11
660, -388, 16660, 1
-13820, -5012, 6952, 6
-380, 14796, -7024, 10
-128, 360, -16848, 12
8752, 11512, 7872, 4
736, -352, 16636, 1
612, -412, 16636, 1
8728, 11544, 7728, 4
720, -404, 16604, 1
-13972, -4896, 6960, 6
-328, 14824, -6932, 10
-13924, -4992, 7056, 6
14268, -5112, 6752, 3
13904, 4344, -8012, 9
-8368, 11608, 7640, 5
13848, 4408, -7788, 9
-14060, 4928, -6840, 11
8544, -11820, -8232, 8
8680, 11508, 7824, 4
664, -484, 16676, 1
-8728, -11748, -7804, 7
-14048, -4984, 6944, 6
92, -15112, 6780, 2
